,appearences,assists,blocks,captain,crosses,dispossesed,dribbles,duels,fouls,goals,hit_post,inside_box_saves,interceptions,league_id,lineups,minutes,passes,penalties,player_id,redcards,saves,season_id,substitute_in,substitute_out,substitutes_on_bench,tackles,team_id,type,yellowcards,yellowred
0,0,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",0,,0,0,9,0,0,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,24,0,0,4,,17,domestic,0,0
1,1,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",0,,0,0,27,0,3,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,722,1,0,1,,17,domestic_cup,0,0
2,0,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",0,,0,0,24,0,0,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,5358,0,0,1,,17,domestic_cup,0,0
3,3,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",0,,0,0,501,2,176,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,7953,1,2,3,,273,domestic,1,0
4,2,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",0,,0,0,510,2,79,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,12934,0,2,2,,273,domestic_cup,1,0
5,2,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",0,,0,0,5,2,177,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,12945,0,2,0,,273,cup_international,0,0
6,28,2,0.0,0,"{'total': 0, 'accurate': 0}",0,"{'attempts': 0, 'success': 0, 'dribbled_past': 0}","{'total': 0, 'won': 0}","{'committed': 0, 'drawn': 0}",14,0.0,0,0,501,22,1865,"{'total': 0, 'accuracy': 0, 'key_passes': 0}","{'won': 0, 'scores': 0, 'missed': 0, 'committed': 0, 'saves': 0}",6389,0,0,12963,6,8,8,0.0,273,domestic,4,1
7,4,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",4,,0,0,507,4,354,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,13111,0,1,0,,273,domestic_cup,2,0
8,1,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",0,,0,0,27,0,30,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,7889,1,0,2,,330,domestic_cup,0,0
9,6,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",1,,0,0,14,3,314,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,7933,3,1,21,,330,domestic,0,0
10,1,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",0,,0,0,24,1,78,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,8275,0,1,2,,330,domestic_cup,1,0
11,1,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",0,,0,0,39,1,64,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,8296,0,1,1,,330,domestic,0,0
12,5,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",0,,0,0,17,1,104,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,60,4,0,6,,379,domestic,0,0
13,1,0,,0,"{'total': None, 'accurate': None}",0,"{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'committed': None, 'drawn': None}",0,,0,0,20,0,21,"{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}",6389,0,0,72,1,0,2,,978,domestic,0,0
