attacks,2942.0
avg_ball_possession_percentage,61.94
avg_first_goal_conceded,"{'total': '53m', 'home': '64m', 'away': '46m'}"
avg_first_goal_scored,"{'total': '34m', 'home': '32m', 'away': '37m'}"
avg_fouls_per_game,5.70
avg_goals_per_game_conceded,"{'total': 0.52, 'home': 0.18, 'away': 0.33}"
avg_goals_per_game_scored,"{'total': 2.15, 'home': 2.53, 'away': 1.75}"
avg_shots_off_target_per_game,6.52
avg_shots_on_target_per_game,7.36
clean_sheet,"{'total': 21, 'home': 12, 'away': 9}"
dangerous_attacks,2108.0
draw,"{'total': 5, 'home': 2, 'away': 3}"
fouls,188.0
goals_against,"{'total': 17, 'home': 6, 'away': 11}"
goals_for,"{'total': 71, 'home': 43, 'away': 28}"
lost,"{'total': 4, 'home': 0, 'away': 4}"
offsides,22.0
redcards,3.0
scoring_minutes,"[{'period': [{'minute': '0-15', 'count': 9, 'percentage': '12.7'}, {'minute': '15-30', 'count': 12, 'percentage': '16.9'}, {'minute': '30-45', 'count': 16, 'percentage': '22.5'}, {'minute': '45-60', 'count': 6, 'percentage': '8.5'}, {'minute': '60-75', 'count': 9, 'percentage': '12.7'}, {'minute': '75-90', 'count': 19, 'percentage': '26.8'}]}]"
season_id,12963
shots_blocked,0.0
shots_off_target,215.0
shots_on_target,243.0
stage_id,7508262.0
team_id,53
win,"{'total': 24, 'home': 15, 'away': 9}"
yellowcards,37.0
